,img_name,p_sr,p_p_sh,p_p_cn,p_cv_stsh,p_cv_sh,p_cv_mlsh,p_cv_hib
23,A25_240402232213335_000033.png,35.82023465806681,35.148128889493165,28.04180881285296,29.560582694822767,30.34845724254474,33.363733825281244,27.64770485456544
24,k3a_240401193842384_000203.png,33.88477150817306,33.495823218586615,29.336557887409015,29.080377700369603,29.66434124657342,32.05418796719986,28.169321051980177
25,vv_240308164705302_000309.png,33.933118632125044,33.097405156294364,28.693697418991107,28.650460773589614,29.095984370391783,31.245107553847223,27.820970152818482
26,dota_P1456_2.png,48.82200766536581,46.91645146599604,29.235191592081602,33.14278163316398,35.55527336694152,41.570316506177974,27.235306136808966
27,A50_240402110341715_000017.png,31.810448416431072,31.449739627316177,28.452858125570977,28.569334784376792,28.920688576297625,30.52844466190443,27.623880317077635
28,dota_P0887_3.png,34.178102604240365,33.462934976360266,29.752301727831515,29.3936532859107,30.09209806658804,32.254144780340866,27.700243420845908
29,dota_P8287_27.png,31.224703505672533,30.941458233463482,27.92734107359688,28.512490421155242,28.831596778245483,30.052719009245532,27.756719958329235
30,A25_240402173542504_000060.png,32.969883738630244,32.42598729966513,28.628427782373723,28.74036011337338,29.17005861742114,31.095793812562253,27.85372740658074
31,dota_P1273_1.png,56.9576203091282,55.13595638678279,43.559596725022274,38.206024270196,41.121731942587054,46.65608454539982,27.415710654729647
32,k3a_240401195536023_000700.png,31.1779595464511,30.96067592415601,28.83370377080552,28.312530026905655,28.55798839877793,29.88210041983575,28.037956352626555
33,dota_P5789_719.png,55.527401424241766,54.26685599743752,27.70806976673159,36.64309335183556,39.63549107922785,45.18389736202568,27.114251527225225
34,dota_P5789_633.png,56.76708340785411,55.79358627321688,35.85627500733353,37.93896573648172,40.906975221679566,46.57594612701249,27.500893794387714
35,vv_240308094454389_000231.png,36.692754152082564,35.46178945558505,29.266317957866477,29.181562034545788,29.85116437507113,33.05405480410893,27.681886919268557
36,vv_240308171221919_000392.png,30.839955618046275,30.680550094574002,28.231856807108706,28.370623427253648,28.65726743358283,29.923032111591866,27.854807654673507
